Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1648.0266159830248
FDW14,OUT017,1365.3003578691278
NCN55,OUT010,571.1950736525633
FDQ58,OUT017,2462.5541012162507
FDY38,OUT027,5851.726914933705
FDH56,OUT046,1930.4182053018976
FDL48,OUT018,774.2752907343865
FDC48,OUT027,2152.2780709402696
FDN33,OUT045,1520.9521297509104
FDA36,OUT017,3095.9491450251385
FDT44,OUT017,1932.8956944409706
FDQ56,OUT045,1365.5032134525907
NCC54,OUT019,570.9807585493016
FDU11,OUT049,2014.0825315253812
DRL59,OUT013,884.8898502777153
FDM24,OUT049,2450.6832397099442
FDI57,OUT045,3032.6088137001416
DRC12,OUT018,2928.006630354002
NCM42,OUT027,2908.563509458489
FDA46,OUT010,512.2159423212686
FDA31,OUT013,2835.6423139194953
NCJ31,OUT035,3883.0879271707254
FDG52,OUT046,790.0202329853594
NCL19,OUT019,289.68328580962583
FDS10,OUT035,2972.7546577135045
FDX22,OUT010,564.8339423320738
NCF19,OUT035,761.145974951895
NCE06,OUT046,2543.004760772422
DRC27,OUT046,3952.568397263932
FDE21,OUT035,1968.9082260232722
NCR42,OUT019,130.3637833324574
FDX51,OUT018,2979.3497125788535
NCR06,OUT018,622.3699150756441
FDU31,OUT027,5851.726914933705
FDU59,OUT017,2548.1719203970893
FDR03,OUT027,5851.726914933705
FDS49,OUT027,2036.035000116819
FDD48,OUT010,270.1832581909837
NCF18,OUT017,3017.9517211341195
NCD43,OUT027,2866.3478801611227
NCD54,OUT018,2103.286085651329
FDY19,OUT010,270.1832581909837
NCY54,OUT017,2868.6199534928833
NCL19,OUT018,2425.3342950381957
FDP23,OUT010,568.5605531207856
FDC26,OUT013,1728.6273104705258
FDR14,OUT010,130.3637833324574
NCS41,OUT035,3112.7193387105885
FDF41,OUT035,3902.10076721824
FDU34,OUT046,2031.5338928267508
DRH11,OUT046,936.5611510418083
FDM03,OUT013,1656.298131618279
FDS31,OUT017,3058.0667704189655
FDJ20,OUT017,1995.7434157392354
FDV44,OUT027,5104.375337130527
FDG02,OUT049,3118.3305404279217
FDA09,OUT013,2983.8818930329394
FDT04,OUT013,696.622540585387
FDL58,OUT019,570.9807585493016
FDE52,OUT045,1383.9190108461357
FDW12,OUT035,2470.724359840336
FDL51,OUT017,3713.714468714387
NCY42,OUT027,3042.3074982786993
FDR07,OUT017,1529.7937140286929
FDN40,OUT045,2458.86889250863
FDB35,OUT027,2637.983016708575
FDA22,OUT017,2550.4143466884834
NCL06,OUT046,4165.721550115657
FDI35,OUT013,3052.899737221303
NCW42,OUT045,3790.133035719867
NCX06,OUT049,3000.246758311799
FDC37,OUT027,2888.282724794273
FDZ14,OUT018,1954.8541462233943
DRG49,OUT049,3917.552664494325
NCG06,OUT045,4133.165966400838
DRC36,OUT045,2868.1574260072393
FDV21,OUT019,280.07830257198566
FDB53,OUT046,2509.461874415821
DRP47,OUT019,568.7619603153905
FDA14,OUT013,2457.280225658081
DRC24,OUT035,2533.9071372915564
FDW21,OUT018,1620.0873886995134
NCH29,OUT046,1537.114329652571
FDU58,OUT013,3091.6062740271277
FDY27,OUT017,2909.826615961205
FDV56,OUT035,1667.1693393452788
FDT59,OUT046,3844.7905340741872
FDB23,OUT046,3801.3268689037254
FDR49,OUT045,761.6424807568669
FDB03,OUT010,570.9807585493016
FDN39,OUT045,2625.443896508649
FDX02,OUT027,5851.726914933705
FDQ16,OUT027,2888.282724794273
FDU35,OUT018,1552.1462454114724
NCT29,OUT013,2008.3305095152296
FDZ27,OUT046,793.0619936074472
FDN57,OUT017,2029.1267435697725
FDA03,OUT018,2427.046650592765
FDZ36,OUT045,3117.598549281457
NCU05,OUT013,1429.1028159946925
FDT39,OUT018,2386.3973953384852
FDK60,OUT017,1535.0209088135528
FDZ25,OUT017,2797.898553541065
FDG12,OUT046,2080.69880947182
DRB01,OUT019,509.85395967524664
