Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1690.234086238532
FDW14,OUT017,1481.8506141732291
NCN55,OUT010,584.7577647727272
FDQ58,OUT017,2649.1102324324343
FDY38,OUT027,6280.890879999999
FDH56,OUT046,1922.1493817142853
FDL48,OUT018,713.8586545454544
FDC48,OUT027,2517.8820884848496
FDN33,OUT045,1559.342975268817
FDA36,OUT017,2752.9709346534664
FDT44,OUT017,1922.1493817142853
FDQ56,OUT045,1481.8506141732291
NCC54,OUT019,584.7577647727272
FDU11,OUT049,2142.7435709401716
DRL59,OUT013,713.8586545454544
FDM24,OUT049,2286.413267368421
FDI57,OUT045,3130.004904950495
DRC12,OUT018,2893.83982589928
NCM42,OUT027,3242.0620715328478
FDA46,OUT010,482.6995426229507
FDA31,OUT013,2851.6316958762886
NCJ31,OUT035,3737.295775182482
FDG52,OUT046,798.2176035398227
NCL19,OUT019,281.48208181818165
FDS10,OUT035,3384.108064242422
FDX22,OUT010,584.7577647727272
NCF19,OUT035,798.2176035398227
NCE06,OUT046,2503.5013364485976
DRC27,OUT046,4109.900606217618
FDE21,OUT035,1922.1493817142853
NCR42,OUT019,92.67548155339807
FDX51,OUT018,2893.83982589928
NCR06,OUT018,507.04640366972484
FDU31,OUT027,5329.314724444442
FDU59,OUT017,2503.5013364485976
FDR03,OUT027,5329.314724444442
FDS49,OUT027,2517.8820884848496
FDD48,OUT010,281.48208181818165
NCF18,OUT017,2939.348476190476
NCD43,OUT027,2517.8820884848496
NCD54,OUT018,1752.252440000001
FDY19,OUT010,281.48208181818165
NCY54,OUT017,2851.6316958762886
NCL19,OUT018,2232.8470218487396
FDP23,OUT010,584.7577647727272
FDC26,OUT013,1511.8747716981122
FDR14,OUT010,165.91858165137614
NCS41,OUT035,3384.108064242422
FDF41,OUT035,3737.295775182482
FDU34,OUT046,1987.2510486486474
DRH11,OUT046,935.0323883040934
FDM03,OUT013,1511.8747716981122
FDS31,OUT017,3384.108064242422
FDJ20,OUT017,2142.7435709401716
FDV44,OUT027,5329.314724444442
FDG02,OUT049,2752.9709346534664
FDA09,OUT013,2851.6316958762886
FDT04,OUT013,507.04640366972484
FDL58,OUT019,584.7577647727272
FDE52,OUT045,1424.5946902777778
FDW12,OUT035,2286.413267368421
FDL51,OUT017,3753.0000993630583
NCY42,OUT027,3242.0620715328478
FDR07,OUT017,1559.342975268817
FDN40,OUT045,2286.413267368421
FDB35,OUT027,2517.8820884848496
FDA22,OUT017,2286.413267368421
NCL06,OUT046,4034.300306896551
FDI35,OUT013,3384.108064242422
NCW42,OUT045,3753.0000993630583
NCX06,OUT049,2568.3328336448594
FDC37,OUT027,2517.8820884848496
FDZ14,OUT018,1752.252440000001
DRG49,OUT049,3454.0625591549287
NCG06,OUT045,4034.300306896551
DRC36,OUT045,2851.6316958762886
FDV21,OUT019,281.48208181818165
FDB53,OUT046,2660.9504030303033
DRP47,OUT019,584.7577647727272
FDA14,OUT013,2660.9504030303033
DRC24,OUT035,2660.9504030303033
